model,event_id,positive_count,negative_count,threshold,stage1_proba_all_mean,stage1_proba_all_median,stage1_proba_all_p95,stage1_proba_positive_mean,stage1_proba_positive_median,stage1_proba_positive_p95,stage1_proba_negative_mean,stage1_proba_negative_median,stage1_proba_negative_p95,stage1_proba_positive_gt_negative_mean,stage2_pred_all_mean,stage2_pred_all_median,stage2_pred_all_p95,stage2_pred_positive_mean,stage2_pred_positive_median,stage2_pred_positive_p95,stage2_pred_negative_mean,stage2_pred_negative_median,stage2_pred_negative_p95,stage2_pred_positive_gt_negative_mean,final_score_all_mean,final_score_all_median,final_score_all_p95,final_score_positive_mean,final_score_positive_median,final_score_positive_p95,final_score_negative_mean,final_score_negative_median,final_score_negative_p95,final_score_positive_gt_negative_mean,roc_auc_final_score,pr_auc_final_score,predicted_positive_count,tp,fp,fn,recall,precision,alert_rate
v6_baseline,EVT_2014_FLOOD,27,120863,0.10080808080808079,0.18481570482254028,0.04849998652935028,0.8138961791992188,0.10064160078763962,0.0023478176444768906,0.6468734502792358,0.18483449518680573,0.048542242497205734,0.8139350175857542,False,0.05591540411114693,0.05207183212041855,0.07083492316305633,0.05204983055591583,0.05185157433152199,0.05279094725847244,0.05591626465320587,0.0520719550549984,0.07083813846111296,False,0.039329227060079575,0.05156395584344864,0.06069952398538588,0.021057449281215668,0.0,0.051796755939722064,0.03933330625295639,0.051564041525125504,0.06070056669414043,False,0.3074661209615662,0.0001759559097729239,1170,0,1170,27,0.0,0.0,0.009678219869302672
v6_baseline,EVT_2016_FLOOD,41,120849,0.10080808080808079,0.18532375991344452,0.05009523034095764,0.8132068932056427,0.629067599773407,0.699819028377533,0.8801395893096924,0.18517321348190308,0.050040774047374725,0.8130867481231687,True,0.05234125629067421,0.05185941606760025,0.054935635440051554,0.053518276661634445,0.054045867174863815,0.05789293348789215,0.05234086140990257,0.05185919255018234,0.05493521019816398,True,0.03764626383781433,0.05131872743368149,0.05425846576690674,0.053518276661634445,0.054045867174863815,0.05789293348789215,0.037640877068042755,0.05131857469677925,0.054256747663021083,True,0.7886974048848301,0.0022726915097751326,0,0,0,41,0.0,0.0,0.0
v6_baseline,EVT_2017_FLOOD,13,120877,0.10080808080808079,0.1854754090309143,0.0498955212533474,0.8130468904972076,0.6169790625572205,0.6747389435768127,0.9363243460655212,0.18542902171611786,0.04986991360783577,0.8129563331604002,True,0.06015932932496071,0.05678226053714752,0.08234799094498152,0.06650123000144958,0.05706438049674034,0.09307059943675995,0.06015864759683609,0.05678194388747215,0.08234103620052337,True,0.043308086693286896,0.05406084656715393,0.07945394553244112,0.06650123000144958,0.05706438049674034,0.09307059943675995,0.043305590748786926,0.054060570895671844,0.07945000678300858,True,0.755906990004461,0.00038874418788851725,505,0,505,13,0.0,0.0,0.004177351311109273
v6_baseline,EVT_2018_FLOOD,712,120178,0.10080808080808079,0.17735813558101654,0.04071487486362457,0.8173660635948181,0.47603344917297363,0.49352705478668213,0.9261474549770353,0.17558863759040833,0.039975158870220184,0.8143667310476301,True,0.06269397586584091,0.05318889766931534,0.09832128733396522,0.07386494427919388,0.0630798190832138,0.12312672398984431,0.06262779235839844,0.053180284798145294,0.09775615483522414,True,0.044615648686885834,0.05154487490653992,0.08373682126402847,0.07122427970170975,0.06119954586029053,0.12312672398984431,0.04445800930261612,0.051539842039346695,0.08309901691973208,True,0.7443437774697869,0.016797352837144855,3682,108,3574,604,0.15168539325842698,0.02933188484519283,0.030457440648523453
v6_baseline,EVT_2019_FLOOD,13,120877,0.10080808080808079,0.1858050376176834,0.050220780074596405,0.8135636508464809,0.6952604055404663,0.7814720869064331,0.8924093127250671,0.18575026094913483,0.05021263659000397,0.8133463621139525,True,0.06913021206855774,0.058473922312259674,0.13663439601659771,0.05640891566872597,0.05203956365585327,0.07093043923377988,0.06913159042596817,0.05847395956516266,0.13663674890995023,False,0.04746256768703461,0.05236508697271347,0.08993646204471584,0.05640891566872597,0.05203956365585327,0.07093043923377988,0.047461606562137604,0.05236567184329033,0.08993863761425018,True,0.5507998913071839,0.00012054564953230059,4353,0,4353,13,0.0,0.0,0.0360079411034825
v6_baseline,EVT_2020_FLOOD,211,120679,0.10080808080808079,0.18158216774463654,0.04657747223973274,0.8154028892517089,0.4298916161060333,0.3670137822628021,0.8841771185398102,0.18114803731441498,0.04633995145559311,0.8148291766643522,True,0.053237732499837875,0.051577016711235046,0.05891215559095144,0.05201302841305733,0.05106262117624283,0.05668700858950615,0.05323987826704979,0.05157849192619324,0.05892315246164795,False,0.03776950761675835,0.05111300200223923,0.056399578601121894,0.050717562437057495,0.051049552857875824,0.05668700858950615,0.037746865302324295,0.051113151013851166,0.056398745626211166,True,0.5400190761052716,0.0018404724871305803,118,0,118,211,0.0,0.0,0.000976093969724543
v6_baseline,EVT_2022_FLOOD,7153,113737,0.10080808080808079,0.12159570306539536,0.02314450964331627,0.6135329484939552,0.1782461553812027,0.06282950192689896,0.8244876146316528,0.11803290992975235,0.02109896019101143,0.5961626291275024,True,0.09786362946033478,0.056258268654346466,0.2476090721786021,0.14912138879299164,0.1424441933631897,0.29240587949752805,0.09463998675346375,0.054244138300418854,0.2430384874343872,True,0.0563882440328598,0.0511150062084198,0.17352786287665362,0.12358621507883072,0.13181236386299133,0.2583469688892364,0.05216211825609207,0.05109383165836334,0.16181527972221368,True,0.7830677590902151,0.20649826768150273,21680,4876,16804,2277,0.6816720257234726,0.22490774907749078,0.17933658697989907
v6_baseline,EVT_2023_FLOOD,229,120661,0.10080808080808079,0.18446265161037445,0.04822526127099991,0.8141364634037015,0.6582444310188293,0.7912954092025757,0.9124719619750976,0.1835634857416153,0.04785468801856041,0.812458336353302,True,0.06295695155858994,0.058953434228897095,0.08677267208695408,0.06916670501232147,0.06144629046320915,0.09667363911867141,0.0629451647400856,0.05894741043448448,0.08670583367347717,True,0.044275183230638504,0.057121291756629944,0.07825605794787403,0.06916670501232147,0.06144629046320915,0.09667363911867141,0.04422794282436371,0.057116586714982986,0.07813557982444763,True,0.7665457690496624,0.006478343707052003,954,10,944,219,0.043668122270742356,0.010482180293501049,0.007891471585739102
v6_baseline,EVT_2024_FLOOD,186,120704,0.10080808080808079,0.18352362513542175,0.047487884759902954,0.8149696379899977,0.5317010283470154,0.6338024139404297,0.9088974297046661,0.18298709392547607,0.047225628048181534,0.8143172979354858,True,0.054754894226789474,0.052943188697099686,0.06479567438364027,0.05670790374279022,0.05538759380578995,0.06675096973776817,0.054751887917518616,0.05294184386730194,0.06478969268500805,True,0.039154473692178726,0.05191582813858986,0.06078544370830058,0.05670790374279022,0.05538759380578995,0.06675096973776817,0.03912742808461189,0.05191050469875336,0.06077077463269233,True,0.7469255413046328,0.004390542272412511,0,0,0,186,0.0,0.0,0.0
v6_baseline,EVT_2025_FLOOD,1193,119697,0.10080808080808079,0.17020392417907715,0.03438375145196915,0.8171720474958418,0.2772379219532013,0.10303068906068802,0.8940630435943603,0.1691371351480484,0.034218162298202515,0.8154984354972838,True,0.05157178267836571,0.05078287050127983,0.055430613830685545,0.05087197199463844,0.05081057921051979,0.05107097700238228,0.05157876014709473,0.05078287050127983,0.0555181175470352,False,0.034361984580755234,0.05077815055847168,0.050831373780965805,0.033307429403066635,0.05077870190143585,0.050831373780965805,0.03437249734997749,0.05077815055847168,0.050831373780965805,False,0.5221433560926027,0.010615757686211482,0,0,0,1193,0.0,0.0,0.0
streamfix_v7_best_candidate,EVT_2014_FLOOD,27,120863,0.1271717171717171,0.18481570482254028,0.04849998652935028,0.8138961791992188,0.10064160078763962,0.0023478176444768906,0.6468734502792358,0.18483449518680573,0.048542242497205734,0.8139350175857542,False,0.11700648814439774,0.11412171274423599,0.11953142285346985,0.11388567090034485,0.11389102786779404,0.11390391737222672,0.11700718849897385,0.11412274837493896,0.11953272372484207,False,0.08347976952791214,0.11389102786779404,0.11676571518182755,0.04640242084860802,0.0,0.11390391737222672,0.08348804712295532,0.11389102786779404,0.11676571518182755,False,0.2721501939293985,0.0001708212646022745,2394,0,2394,27,0.0,0.0,0.019803126809496235
streamfix_v7_best_candidate,EVT_2016_FLOOD,41,120849,0.1271717171717171,0.18532375991344452,0.05009523034095764,0.8132068932056427,0.629067599773407,0.699819028377533,0.8801395893096924,0.18517321348190308,0.050040774047374725,0.8130867481231687,True,0.11391439288854599,0.11393233388662338,0.11414540559053421,0.11395929753780365,0.11394460499286652,0.11416623741388321,0.1139143854379654,0.11393233388662338,0.11414540559053421,True,0.08211518079042435,0.11378602683544159,0.11410235613584518,0.11395929753780365,0.11394460499286652,0.11416623741388321,0.0821043848991394,0.11378602683544159,0.11410235613584518,True,0.7370458679638308,0.0007552435985162088,23,0,23,41,0.0,0.0,0.0001902556042683431
streamfix_v7_best_candidate,EVT_2017_FLOOD,13,120877,0.1271717171717171,0.1854754090309143,0.0498955212533474,0.8130468904972076,0.6169790625572205,0.6747389435768127,0.9363243460655212,0.18542902171611786,0.04986991360783577,0.8129563331604002,True,0.11581523716449738,0.11498982459306717,0.12042669467627999,0.11879195272922516,0.11719772219657898,0.12487424165010452,0.11581491678953171,0.11498982459306717,0.12042396515607834,True,0.0835954025387764,0.11456324905157089,0.11946109086275099,0.11879195272922516,0.11719772219657898,0.12487424165010452,0.08359162509441376,0.11456321179866791,0.11945826411247254,True,0.7889669791479069,0.0006473046429260169,529,0,529,13,0.0,0.0,0.004375878898171892
streamfix_v7_best_candidate,EVT_2018_FLOOD,712,120178,0.1271717171717171,0.17735813558101654,0.04071487486362457,0.8173660635948181,0.47603344917297363,0.49352705478668213,0.9261474549770353,0.17558863759040833,0.039975158870220184,0.8143667310476301,True,0.11809166520833969,0.11406571418046951,0.1306807033717632,0.1190410777926445,0.11836657673120499,0.1311262145638466,0.11808604747056961,0.11405879259109497,0.13065384253859516,True,0.08348400145769119,0.11376246809959412,0.12637162432074545,0.11519517749547958,0.11772430688142776,0.1311262145638466,0.08329612761735916,0.113760806620121,0.126314627379179,True,0.7157660483859054,0.012134590904585903,5350,71,5279,641,0.0997191011235955,0.013271028037383177,0.04425510794937546
streamfix_v7_best_candidate,EVT_2019_FLOOD,13,120877,0.1271717171717171,0.1858050376176834,0.050220780074596405,0.8135636508464809,0.6952604055404663,0.7814720869064331,0.8924093127250671,0.18575026094913483,0.05021263659000397,0.8133463621139525,True,0.11826667189598083,0.11519251018762589,0.13728419765830038,0.11526443064212799,0.11469738185405731,0.11690095961093902,0.1182669997215271,0.11519251018762589,0.1372848004102707,False,0.08456926792860031,0.11440550535917282,0.12610867246985435,0.11526443064212799,0.11469738185405731,0.11690095961093902,0.08456596732139587,0.11440550535917282,0.1261087417602539,True,0.6488229293477603,0.00015590419066890352,5387,0,5387,13,0.0,0.0,0.04456117131276367
streamfix_v7_best_candidate,EVT_2020_FLOOD,211,120679,0.1271717171717171,0.18158216774463654,0.04657747223973274,0.8154028892517089,0.4298916161060333,0.3670137822628021,0.8841771185398102,0.18114803731441498,0.04633995145559311,0.8148291766643522,True,0.11496235430240631,0.11403586715459824,0.117449701577425,0.11426818370819092,0.11371345818042755,0.11888707429170609,0.1149635761976242,0.11403705924749374,0.11744867786765098,False,0.08221756666898727,0.11374243348836899,0.11616916954517365,0.11155986040830612,0.11371345818042755,0.11888707429170609,0.08216626197099686,0.11374243348836899,0.11616657301783559,True,0.5239406220780214,0.0019594660465720778,409,0,409,211,0.0,0.0,0.003383240962858797
streamfix_v7_best_candidate,EVT_2022_FLOOD,7153,113737,0.1271717171717171,0.12159570306539536,0.02314450964331627,0.6135329484939552,0.1782461553812027,0.06282950192689896,0.8244876146316528,0.11803290992975235,0.02109896019101143,0.5961626291275024,True,0.12554453313350677,0.1135343462228775,0.16840304136276246,0.13963258266448975,0.13545459508895874,0.18149047493934628,0.12465853244066238,0.11352953314781189,0.16700852215290066,True,0.08456443250179291,0.11352146416902542,0.153013452142477,0.11993050575256348,0.1328999102115631,0.1737912237644195,0.08234023302793503,0.11352109909057617,0.14992645978927607,True,0.7730401724721333,0.16921444598595858,20925,4897,16028,2256,0.6846078568432825,0.234026284348865,0.17309123997022086
streamfix_v7_best_candidate,EVT_2023_FLOOD,229,120661,0.1271717171717171,0.18446265161037445,0.04822526127099991,0.8141364634037015,0.6582444310188293,0.7912954092025757,0.9124719619750976,0.1835634857416153,0.04785468801856041,0.812458336353302,True,0.11832933872938156,0.11552798748016357,0.13126661777496335,0.12052605301141739,0.11556387692689896,0.13499564230442046,0.11832517385482788,0.11552798748016357,0.13122639060020447,True,0.08448736369609833,0.11512501537799835,0.12549063563346863,0.12052605301141739,0.11556387692689896,0.13499564230442046,0.08441895991563797,0.11512501537799835,0.12549063563346863,True,0.7045336950188752,0.005002712323482182,4572,55,4517,174,0.24017467248908297,0.012029746281714786,0.0378195053354289
streamfix_v7_best_candidate,EVT_2024_FLOOD,186,120704,0.1271717171717171,0.18352362513542175,0.047487884759902954,0.8149696379899977,0.5317010283470154,0.6338024139404297,0.9088974297046661,0.18298709392547607,0.047225628048181534,0.8143172979354858,True,0.1145779937505722,0.11393805593252182,0.11730833351612091,0.11462103575468063,0.1140688806772232,0.11591676622629166,0.11457792669534683,0.11393805593252182,0.11731014400720596,True,0.0823698341846466,0.1138269454240799,0.11603661626577377,0.11462103575468063,0.1140688806772232,0.11591676622629166,0.08232013881206512,0.1138269454240799,0.11603661626577377,True,0.676911180215852,0.0030163726389309735,122,2,120,184,0.010752688172043012,0.01639344262295082,0.001009181900901646
streamfix_v7_best_candidate,EVT_2025_FLOOD,1193,119697,0.1271717171717171,0.17020392417907715,0.03438375145196915,0.8171720474958418,0.2772379219532013,0.10303068906068802,0.8940630435943603,0.1691371351480484,0.034218162298202515,0.8154984354972838,True,0.11363775283098221,0.1135176569223404,0.11352290213108063,0.11351773142814636,0.1135176569223404,0.11351794302463532,0.11363894492387772,0.1135176569223404,0.11352290213108063,False,0.0767545998096466,0.1135176569223404,0.11351913213729858,0.07440981268882751,0.1135176569223404,0.1135176569223404,0.07677796483039856,0.1135176569223404,0.11351913213729858,False,0.48851400218633917,0.00962907610684735,0,0,0,1193,0.0,0.0,0.0
